signature_id,split,expected_class,predicted_class,model,mean_coverage,aggregate_effect,aggregate_p,direction_consistency,i_squared,loo_stability,max_confounder_effect,null_separation_p,platform_holdout_consistency,within_d,within_p
brittle_single_tissue,primary,brittle,durable,overlap_only,0.9016666666666667,0.02729076576746156,0.4237202075254014,0.5666666666666667,0.9045614497967901,0.9,0.15549917705248237,0.845,0.6666666666666666,,
brittle_single_tissue,primary,brittle,brittle,effect_only,0.9016666666666667,0.02729076576746156,0.4237202075254014,0.5666666666666667,0.9045614497967901,0.9,0.15549917705248237,0.845,0.6666666666666666,,
brittle_single_tissue,primary,brittle,brittle,null_aware,0.9016666666666667,0.02729076576746156,0.4237202075254014,0.5666666666666667,0.9045614497967901,0.9,0.15549917705248237,0.845,0.6666666666666666,,
brittle_single_tissue,primary,brittle,brittle,no_confounder,0.9016666666666667,0.02729076576746156,0.4237202075254014,0.5666666666666667,0.9045614497967901,0.9,0.15549917705248237,0.845,0.6666666666666666,,
brittle_single_tissue,primary,brittle,confounded,within_program,0.9016666666666667,0.02729076576746156,0.4237202075254014,0.5666666666666667,0.9045614497967901,0.9,0.15549917705248237,0.845,0.6666666666666666,,
brittle_overfit_noise,primary,brittle,mixed,full_model,0.8200000000000001,-0.2075524334883426,8.416514152287391e-10,0.5,0.7893402309432888,1.0,0.0,0.205,1.0,,
brittle_overfit_noise,primary,brittle,durable,overlap_only,0.8200000000000001,-0.2075524334883426,8.416514152287391e-10,0.5,0.7893402309432888,1.0,0.0,0.205,1.0,,
brittle_overfit_noise,primary,brittle,durable,effect_only,0.8200000000000001,-0.2075524334883426,8.416514152287391e-10,0.5,0.7893402309432888,1.0,0.0,0.205,1.0,,
brittle_overfit_noise,primary,brittle,brittle,null_aware,0.8200000000000001,-0.2075524334883426,8.416514152287391e-10,0.5,0.7893402309432888,1.0,0.0,0.205,1.0,,
brittle_overfit_noise,primary,brittle,mixed,no_confounder,0.8200000000000001,-0.2075524334883426,8.416514152287391e-10,0.5,0.7893402309432888,1.0,0.0,0.205,1.0,,
brittle_overfit_noise,primary,brittle,mixed,within_program,0.8200000000000001,-0.2075524334883426,8.416514152287391e-10,0.5,0.7893402309432888,1.0,0.0,0.205,1.0,,
mixed_emt_inflammation,primary,mixed,mixed,full_model,0.935,0.30744787223182063,0.0,0.8,0.9134291800454852,1.0,0.26806643496164284,0.045,1.0,3.149835467954615,0.0005677242622388334
mixed_emt_inflammation,primary,mixed,durable,overlap_only,0.935,0.30744787223182063,0.0,0.8,0.9134291800454852,1.0,0.26806643496164284,0.045,1.0,3.149835467954615,0.0005677242622388334
mixed_emt_inflammation,primary,mixed,durable,effect_only,0.935,0.30744787223182063,0.0,0.8,0.9134291800454852,1.0,0.26806643496164284,0.045,1.0,3.149835467954615,0.0005677242622388334
mixed_emt_inflammation,primary,mixed,mixed,null_aware,0.935,0.30744787223182063,0.0,0.8,0.9134291800454852,1.0,0.26806643496164284,0.045,1.0,3.149835467954615,0.0005677242622388334
mixed_emt_inflammation,primary,mixed,mixed,no_confounder,0.935,0.30744787223182063,0.0,0.8,0.9134291800454852,1.0,0.26806643496164284,0.045,1.0,3.149835467954615,0.0005677242622388334
mixed_emt_inflammation,primary,mixed,durable,within_program,0.935,0.30744787223182063,0.0,0.8,0.9134291800454852,1.0,0.26806643496164284,0.045,1.0,3.149835467954615,0.0005677242622388334
mixed_hypoxia_stress,primary,mixed,mixed,full_model,0.9466666666666665,0.5143817250048381,0.0,0.8,0.9416393555483303,1.0,0.5009705248377652,0.0,1.0,2.4069588924578165,2.4004588437209762e-05
mixed_hypoxia_stress,primary,mixed,durable,overlap_only,0.9466666666666665,0.5143817250048381,0.0,0.8,0.9416393555483303,1.0,0.5009705248377652,0.0,1.0,2.4069588924578165,2.4004588437209762e-05
mixed_hypoxia_stress,primary,mixed,durable,effect_only,0.9466666666666665,0.5143817250048381,0.0,0.8,0.9416393555483303,1.0,0.5009705248377652,0.0,1.0,2.4069588924578165,2.4004588437209762e-05
mixed_hypoxia_stress,primary,mixed,mixed,null_aware,0.9466666666666665,0.5143817250048381,0.0,0.8,0.9416393555483303,1.0,0.5009705248377652,0.0,1.0,2.4069588924578165,2.4004588437209762e-05
mixed_hypoxia_stress,primary,mixed,mixed,no_confounder,0.9466666666666665,0.5143817250048381,0.0,0.8,0.9416393555483303,1.0,0.5009705248377652,0.0,1.0,2.4069588924578165,2.4004588437209762e-05
mixed_hypoxia_stress,primary,mixed,durable,within_program,0.9466666666666665,0.5143817250048381,0.0,0.8,0.9416393555483303,1.0,0.5009705248377652,0.0,1.0,2.4069588924578165,2.4004588437209762e-05
mixed_senescence_proliferation,primary,mixed,mixed,full_model,0.9566666666666666,0.5376248342940425,0.0,0.9,0.9435788898091556,1.0,0.5264316236354428,0.0,1.0,,
mixed_senescence_proliferation,primary,mixed,durable,overlap_only,0.9566666666666666,0.5376248342940425,0.0,0.9,0.9435788898091556,1.0,0.5264316236354428,0.0,1.0,,
mixed_senescence_proliferation,primary,mixed,durable,effect_only,0.9566666666666666,0.5376248342940425,0.0,0.9,0.9435788898091556,1.0,0.5264316236354428,0.0,1.0,,
mixed_senescence_proliferation,primary,mixed,mixed,null_aware,0.9566666666666666,0.5376248342940425,0.0,0.9,0.9435788898091556,1.0,0.5264316236354428,0.0,1.0,,
